name,overview,popularity,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,first_air_year,in_production_True
NCIS: New Orleans,"A drama about the local field office that investigates criminal cases affecting military personnel in The Big Easy, a city known for its music, entertainment and decadence.",0.24159285658000285,0.73,0.01761569631051397,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014.0,False
Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",0.24156120203747494,0.8294000000000001,0.31499253572190233,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2005.0,False
S.W.A.T.,A locally born and bred S.W.A.T. lieutenant is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.,0.2400900515609843,0.8117000000000001,0.05715504371934314,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,True
The Brave Yong Soo-jung,"An ingenuous home-shopping host Su Jeong dreams of becoming a successful businesswoman who wins people before money. After losing her parents as a kid, she travels around the country with tinker Jang Won and grows up as a strong woman full of courage. She may look fierce on the outside, but in fact, she is a softhearted, clumsy crybaby and a dork who cannot even make eye contact with her crush, Joo Woo Jin. Meanwhile, there is Yeo Eui Ju, a man who gets on her nerves by loafing around her. As a soldier, he is more logical rather than empathetic, but he passes out whenever he gets drunk. He loses his face after meeting Su Jeong, who drinks like a fish, but he starts to fall for her. By a twist of fate, he realizes he is the second grandson of Masung Group, and his older brother is Su Jeong's crush, Woo Jin.",0.23843705584018454,0.8500000000000001,8.530603540200469e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
SOKO Köln,"The SOKO Köln investigates the cathedral city with humor and often with hard work. Their cases take them into a variety of environments, from the Cologne clique to the terraced housing estates on the outskirts of the city.",0.2369490678410727,0.6200000000000001,0.00017061207080400938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0,True
The Amazing Race,"This reality competition sees teams embark on a trek around the world to amazing destinations where they must compete in a series of challenges, some mental and some physical. Only when the tasks are completed will they learn of their next location. Teams who are the farthest behind will gradually be eliminated as the contest progresses, with the first team to arrive at the final destination winning the race and the $1 million prize.",0.23692639331060944,0.6863000000000001,0.005758157389635317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001.0,True
Fear the Walking Dead,"What did the world look like as it was transforming into the horrifying apocalypse depicted in ""The Walking Dead""? This spin-off set in Los Angeles, following new characters as they face the beginning of the end of the world, will answer that question.",0.2274329490561671,0.7672,0.20588611644273833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,False
Star Wars: The Clone Wars,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",0.19196459540443395,0.8500000000000001,0.08334399658775858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0,False
Maalaala Mo Kaya,"Recognized as the longest and most award-winning drama anthology in the country, Charo Santos-Concio narrates real-life stories of people with well-crafted storylines, excellent performances by its actors, and topnotch production details.",0.13325148052336408,0.5700000000000001,0.00012795905310300704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1991.0,False
How to Get Away with Murder,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",0.13292146507998834,0.785,0.06619748347195564,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014.0,False
